col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,label
0.050086,0.11158,94.08,1.765,0.089417,4.8047,0.26742,2.550597661512027,0.56473,0.035123,1.4827,2.5929,0.22398,3.9993,3.4247,1.7945,0.070337,0.7135,1.1426,0.018661,0.06512,0.081132,2.5249701369863016,0.060869,0.083399,2.1228,0.73517,0.096963,0.011055,3.951,0.09111,0.018081,0.038182,0.017668,0.91469,41.014,3.707,2.0693,4.9571,0.016032,4.3729,3.2356,0.092688,0.22587,6.3327,2.5621,0.0305,4.1712,0.043128,1.8959,0.19076,0.04998,0.96831,0.095265,4.9342,3.6403,0.085841,2.5845,0.038742,0.00031918,0.052713,0.019645,0.094237,0.036511,0.071179,0.23586,4.0732,1.2444,0.094579,0.93198,2.3565,0.82129,0.049131,0.02701,1.8648,0.011165,0.048432,0.7312,0.099694,0.16896,1.6389,2.7395,0.55716,0.070742,0.022589,1.6064,3.0345,0.063698,0.95168,0.065822,0.054712,4.1687,0.075432,0.010869,0.063972,0.079892,1.9795,3.5064,0.072132,0.09195,1
0.088447,2.3634,5.058,0.14436,0.064547,2.444,4.2545,0.36506,1.8609,0.0097593,3.5075,3.6126,0.01972,2.2723,1.1937,1.0369,0.086313,1.5003,2.3868,0.052785,0.08795,0.067695,1.466,0.024131,0.035304,1.445,3.839,0.0003252,0.092129,4.7438,0.033202,0.083371,0.014163,0.055091,5.0602,1.0771,0.0039658,4.0361,2.4418348252595155,0.019126,1.9285,0.77643,0.018482,4.5763,1.0067,1.5745,0.0547,0.34146,0.048967,0.01956,2.0155,0.07208,0.087619,0.094343,3.9453,0.5248,0.082408,1.3841,0.032529,0.02405,0.00099099,0.06766,0.023938,0.090783,0.003342,2.9558,3.8611,3.7686,0.071469,0.089305,1.7302,3.7683,0.047478,0.090466,5.0165,0.088609,0.0036006,1.0453,0.03231,0.090294,5.0259,0.081161,1.0509,0.015816,20.088,1.07,4.3468,0.061113,0.073222,0.098675,0.017203,4.5613,0.046505,0.09427907471403812,0.084066,0.064829,3.3087,2.9969,0.064328,0.036793,0
0.77254,0.59469,291.01865924006904,0.97515,0.015987,0.52884,1.4884,3.961,4.8063,0.048617,2.7212,2.5029,0.023355,4.5088,3.1327,3.8627,0.090923,4.3838,2.1928,0.026211,0.099073,0.019689,2.2198,0.042799,0.037704,4.1482,4.0718,0.017883,0.092244,3.6523,0.010751,0.055596,0.015418,0.093861,0.94272,1.0224,7.5641,2.6595,1.4756,0.77209,2.9316,1.8214,0.036775,3.8538,1.0653,2.6246407405498284,0.039,4.5147,0.088371,0.098904,4.1317,0.020435,0.36422,0.049476,0.405,3.1788,0.040688,2.2262,0.050689,0.0055853,0.087453,0.022281,0.041949,0.022086,0.0082986,2.941,0.98445,0.91658,0.050185,0.040575,1.5254,1.2796,0.014323,0.0049586,0.9157,0.019139,0.2856752121256454,3.4943,0.081137,0.016771,0.13016,1.0637,4.9441,0.377,0.041079,1.5943,4.6241,0.40708,0.051634,0.057662,0.022891,0.12832,0.065028,0.036862,0.01001,0.020709,2.5237,2.1711,0.080865,0.081553,0
0.38241,4.8109,1955.1,0.4605,0.024453,2.0298,3.7403,4.2281,2.4292,0.15683,4.6799,1.2061,0.16048,4.3383,1.7294,4.1555,0.0042596,4.925,4.3986,0.070821,0.034121,0.087522,0.17924,0.097594,0.31043,5.0021,0.79369,0.10047,0.13413,3.0778,0.053728,0.066446,0.39144,0.028428,3.1873,181.06,2.7944,2.5689823137931036,1.3476,0.6469,4.6828,3.8963,0.07296,0.6109,3.3776,0.29307,0.083117,4.0029,0.3698,0.39722,4.2858,0.12665729751295338,0.066497,0.75469,2.8442,3.9069,0.066547,3.6738,0.093712,0.026305,0.18615,0.049486,0.042992,0.25642,0.29486,1.287,0.80866,0.42315,0.094649,0.21758,2.7112,2.147,0.43017,0.042579,2.5289998293103446,0.043946,0.06705,4.9796,0.061703,0.47857,1.7065,1.4378,3.829,0.40563,0.8264100620571924,1.6429,4.7505,0.37756,0.52042,0.038938,0.032051,4.3701,1.0011,0.06575,0.043547,0.62943,4.6262,3.1947,0.18233786705172414,0.18718,1
0.081316,4.8415,4.0507,2.4832,0.05899,2.3794,1.6127,2.0422,1.6571,0.039377,0.65003,2.4241,0.083921,3.2717,1.2791,0.76711,0.077046,4.0043,4.4889,0.017876,0.034194,0.051383,0.10942,0.033228,0.073198,3.8304,0.97449,0.031858,0.064099,4.537,0.031019,0.054224,0.059163,0.0089454,2.3442,1.086,0.039963,1.4863,0.71081,0.09704,3.4237,1.3726,0.079467,2.1721,1.0799,1.646,0.031722,4.0762,0.066266,0.022077,0.75201,0.037699,0.086819,0.089568,2.5328794461805555,2.4755,0.098918,2.8581,0.068503,0.038058,0.058369,0.053831,0.042403,0.037323,0.059348,3.7692,2.3673,2.4747,0.028761,0.013585,0.75453,1.3013,0.0023164,0.00059529,3.5942,0.023379,0.003272,0.96592,0.025424,0.092793,2.6938,0.096934,0.26088,0.063095,0.024237,1.8117,0.72178,0.041385,0.033927,0.091891,0.018918,2.6804,0.076524,0.082756,0.041953,0.018092,3.3041,0.1922,0.0326,0.050172,0
0.34255,4.6142,113.04,3.8146,0.091538,3.8595,4.0823,3.2032,0.33432,0.1281371999310345,2.4665,3.8832,0.018945,4.0627,2.1725,3.9042,0.071203,0.14499,2.1659,0.14103167503460207,0.095252,0.081748,4.2305,0.097499,0.076466,2.3886,3.4396,0.01045,0.073381,2.5891,0.071694,0.3024,3.0119,0.097551,4.4771,6.0602,1.8336,0.33248,3.5626,0.083938,0.17094,3.6866,0.034488,0.45434,1.3991,3.0712,0.042932,0.28877,0.062102,0.60804,4.1063,0.0088541,0.0020369,0.047594,4.9813,2.1336,0.011957,1.4981,0.033686,0.067399,0.34152,0.07486,0.0038964,0.31218,0.028063,1.8407,4.4668,2.5205596412478335,0.096612,0.092169,1.5806,2.0211,0.049687,0.089627,0.64711,0.012052,0.027257,2.4802,0.030525,0.051273,0.31127,1.7897,2.088,0.33194,0.067778,4.166,2.232,0.028801,0.021832,0.023663,0.023846,0.29736,0.37935,0.093512,0.039643,0.060911,2.5383036449399654,2.5706,0.6069,0.077055,1
0.049838,4.0359,8.0746,1.5438,0.040897,0.81835,0.28491,1.5185,1.529,0.074566,4.3402,0.49734,0.087516,3.8882,4.2013,1.3878,0.094243,4.8753,3.5087,2.7748,0.046981,0.078331,3.4852,0.078835,0.090007,2.4382,4.735,0.038125,0.091051,1.0914,0.029882,0.034804,0.043471,0.054963,2.57114630292599,1.0531,2.8219,4.293,0.29139,0.073741,4.3436,0.078002,0.02839,0.52277,1.0631,3.2455,0.021016,4.9466,0.0035603,0.072584,0.63176,0.047343,2.8193,0.095574,1.3028,0.43253,0.061403,3.1504,0.080769,0.031382,0.080937,0.0029938,0.17616254129692835,0.099077,0.045423,1.8192,1.7047,3.985,0.078785,0.023104,2.580142519930676,2.4325,0.079147,0.096823,4.7721,0.0003178,0.052675,3.9053,0.068198,0.089583,1.723,0.018418,1.8512,0.070546,0.036013,1.8112,2.9682,0.0066287,0.060668,0.0945,0.085909,0.8943,0.0077068,0.026541,0.065785,0.022392,3.5761,1.7381,0.03402,0.1524189689860384,0
1.0253,4.1172,219.04,3.6678,0.052317,1.8117,3.3098,4.3716,0.91357,0.087291,4.9379,4.3024,0.23484,1.1984,2.2277,0.66349,0.046612,2.4737,0.64671,0.075755,0.025146,0.096348,1.5621,0.054147,1.4901,4.5582,1.4327,0.078279,0.09079,4.3155,1.0203,0.01594,0.54034,0.040767,3.8203,91.017,4.2844,2.0849,2.0914,0.565741306957265,2.548669153979239,1.0645,0.099654,3.2893,5.9623,0.17328,0.073774,0.58992,0.047049,0.011994,4.2033,0.020683,0.50972,0.057156,3.5209,0.56957,0.0080307,2.6126,0.052467,0.022472,0.069191,0.027144,0.0084606,0.96433,0.095773,5.0023,1.5731,1.556,0.5066,0.052048,2.2375,4.8634,0.09568,0.038785,4.6785,0.094968,0.039674,4.6567,0.016612,1.3126,1.7062,0.95612,1.7213,0.47274,0.057662,3.3863,2.2956,0.084613,0.040585,0.092954,0.044287,2.8245,0.056467,0.08459,0.015977,0.046778,3.3316,3.071,0.064858,0.074024,1
0.86523,4.5402,222.02,4.7676,0.078386,4.1037,4.3763,0.31086,1.1213,0.047399,0.45852,1.5558,0.10335,0.11766,2.9016,2.7971,0.045531,3.6021,3.6335,0.040449,0.088678,0.050553,0.43032,0.049853,0.094987,0.086243,3.6177,0.045066,0.099385,4.5637,0.01966,0.082464,0.19088057130508473,0.067122,3.2376,20.036,1.5932,1.6139,2.0095,0.41691,1.9809,4.2545,0.037334,0.10339,4.2081,0.56979,0.18142693940715504,0.72755,0.067925,0.0069071,4.2611,0.043691,0.035949,0.7965,4.1493,4.0432,0.0033243,4.1516,0.10305123195540308,0.050189,0.070164,0.084168,0.09868,1.1911,0.094224,3.258,4.3276,4.1059,0.0076574,0.014334,4.9787,3.5359,0.022399,0.06501,4.1286,0.058357,0.055522,3.9275,0.087423,0.033213,1.6175,2.0015,3.4536,0.037385,0.030984,2.4792,4.7347,0.005874,0.82683,0.002991,0.08359,2.5416,0.022068,0.029626,0.08978,0.038672,2.3476,3.5032,0.0088744,0.017785,1
1.4816,1.813,41.01,4.735,0.054524,2.9941,4.2084,2.9065,2.2344,0.01022,2.6552,2.8134,0.044722,0.82266,4.3479,1.4583,0.075867,0.38877,1.0987,0.060674,0.034534,0.06619423034602076,0.89608,0.051292,0.059829,3.1409,2.496051908006814,0.042884,0.081048,2.9206,0.049307,0.023937,0.0073424,0.098459,1.1131,16.034,0.041832,0.37053,1.8818,2.9943,0.72939,1.3808,0.09237,3.1535,2.9886,1.9514,0.044127,0.67652,0.015545,0.041919,4.9488,1.5537,0.008552,0.041484,1.9472,0.90715,1.5433,0.94209,0.0079457,0.052493,0.050198,0.024793,0.020789,0.051349,0.0057532,1.8917,3.3853,3.613,0.019532,0.059525,4.5516,3.2764,0.0019358,0.035529,0.5393,0.015335,0.065234,1.2918,0.081885,0.063536,1.4223,1.4879,3.6652,0.051497,0.030999,1.0192,1.6201,0.029225,0.034852,0.066524,0.0011258,3.9286,0.056957,0.012133,0.032425,0.090711,0.33499,2.8653,0.014016,0.051395,0
